            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448198.295138889, A.D. 1990-Nov-02 19:05:00.0000, -1.024045163083139E+07,  2.319878478462583E+07,  3.205357690682371E+06,
2448199.295138889, A.D. 1990-Nov-03 19:05:00.0000, -1.055823794156501E+07,  2.402424027353982E+07,  3.315575122675866E+06,
2448200.295138889, A.D. 1990-Nov-04 19:05:00.0000, -1.086758244613713E+07,  2.484869910379317E+07,  3.424956237598389E+06,
2448201.295138889, A.D. 1990-Nov-05 19:05:00.0000, -1.116802861250124E+07,  2.567252901005261E+07,  3.533475164195724E+06,
2448202.295138889, A.D. 1990-Nov-06 19:05:00.0000, -1.145913006638387E+07,  2.649614380290318E+07,  3.641123824637841E+06,
2448203.295138889, A.D. 1990-Nov-07 19:05:00.0000, -1.174045911243057E+07,  2.732000387465055E+07,  3.747896242043747E+06,
2448204.295138889, A.D. 1990-Nov-08 19:05:00.0000, -1.201161424517041E+07,  2.814461184488104E+07,  3.853787915562892E+06,
2448205.295138889, A.D. 1990-Nov-09 19:05:00.0000, -1.227222528533616E+07,  2.897050661793341E+07,  3.958795274615567E+06,
2448206.295138889, A.D. 1990-Nov-10 19:05:00.0000, -1.252195656568937E+07,  2.979825784608160E+07,  4.062915371017192E+06,
2448207.295138889, A.D. 1990-Nov-11 19:05:00.0000, -1.276050809890484E+07,  3.062845998496223E+07,  4.166145573830187E+06,
2448208.295138889, A.D. 1990-Nov-12 19:05:00.0000, -1.298761595256027E+07,  3.146172758008268E+07,  4.268483431640888E+06,
2448209.295138889, A.D. 1990-Nov-13 19:05:00.0000, -1.320305212183495E+07,  3.229869128991394E+07,  4.369926601523010E+06,
2448210.295138889, A.D. 1990-Nov-14 19:05:00.0000, -1.340665030017767E+07,  3.313999024798143E+07,  4.470439836054524E+06,
2448211.295138889, A.D. 1990-Nov-15 19:05:00.0000, -1.359820273588422E+07,  3.398628718005371E+07,  4.570085387024513E+06,
2448212.295138889, A.D. 1990-Nov-16 19:05:00.0000, -1.377760977739602E+07,  3.483823575039945E+07,  4.668829580366455E+06,
2448213.295138889, A.D. 1990-Nov-17 19:05:00.0000, -1.394478141148571E+07,  3.569649929165322E+07,  4.766670252782095E+06,
2448214.295138889, A.D. 1990-Nov-18 19:05:00.0000, -1.409965987977992E+07,  3.656174273742037E+07,  4.863605306880882E+06,
2448215.295138889, A.D. 1990-Nov-19 19:05:00.0000, -1.424221849518024E+07,  3.743463050107211E+07,  4.959632749190673E+06,
2448216.295138889, A.D. 1990-Nov-20 19:05:00.0000, -1.437246037400851E+07,  3.831582455801509E+07,  5.054750731089860E+06,
2448217.295138889, A.D. 1990-Nov-21 19:05:00.0000, -1.449041647777916E+07,  3.920598099550287E+07,  5.148957350520853E+06,
2448218.295138889, A.D. 1990-Nov-22 19:05:00.0000, -1.459614653317838E+07,  4.010575408495987E+07,  5.242251488183863E+06,
2448219.295138889, A.D. 1990-Nov-23 19:05:00.0000, -1.468973550815072E+07,  4.101578907289840E+07,  5.334632057794753E+06,
2448220.295138889, A.D. 1990-Nov-24 19:05:00.0000, -1.477129290818240E+07,  4.193672257966678E+07,  5.426098328438183E+06,
2448221.295138889, A.D. 1990-Nov-25 19:05:00.0000, -1.484095101321816E+07,  4.286918107573197E+07,  5.516649997415876E+06,
2448222.295138889, A.D. 1990-Nov-26 19:05:00.0000, -1.489886259208829E+07,  4.381377946112463E+07,  5.606287300285136E+06,
2448223.295138889, A.D. 1990-Nov-27 19:05:00.0000, -1.494519722315904E+07,  4.477111823149654E+07,  5.695010929883011E+06,
2448224.295138889, A.D. 1990-Nov-28 19:05:00.0000, -1.498013990828518E+07,  4.574178920915329E+07,  5.782823114184376E+06,
2448225.295138889, A.D. 1990-Nov-29 19:05:00.0000, -1.500388483998797E+07,  4.672637123044191E+07,  5.869727163746631E+06,
2448226.295138889, A.D. 1990-Nov-30 19:05:00.0000, -1.501663267997609E+07,  4.772543562047482E+07,  5.955728153193256E+06,
2448227.295138889, A.D. 1990-Dec-01 19:05:00.0000, -1.501858824419196E+07,  4.873955011972304E+07,  6.040833056974564E+06,
2448228.295138889, A.D. 1990-Dec-02 19:05:00.0000, -1.500997141280456E+07,  4.976928850267765E+07,  6.125040506538391E+06,
2448229.295138889, A.D. 1990-Dec-03 19:05:00.0000, -1.499098905037629E+07,  5.081523652800057E+07,  6.208384982427306E+06,
